JumlahPendapatan,Income_Per_Capita,Income_Diversity,Dual_Income_Household,Has_Other_Income,Has_Working_Children,Umur,Total_Household_Members,Dependency_Ratio,Year_Index,Poverty_Escape_Status_Based,Poverty_Escape_Income_Based,Poverty_Escape_Combined,Jantina_L,Jantina_P,Jantina_nan,DAERAH_BB,DAERAH_BL,DAERAH_KL,DAERAH_KM,DAERAH_KP,DAERAH_KS,DAERAH_LW,DAERAH_PD,DAERAH_PS,DAERAH_PT,DAERAH_SK,DAERAH_YN,DAERAH_nan,Age_Category_Young,Age_Category_Middle_Age,Age_Category_Mature,Age_Category_Senior,Age_Category_nan,Income_Category_Extreme_Poor,Income_Category_Poor,Income_Category_Low_Income,Income_Category_Above_Threshold,Income_Category_nan,JumlahPendapatan_scaled,Income_Per_Capita_scaled,Umur_scaled,Total_Household_Members_scaled,Dependency_Ratio_scaled
1100.0,366.6666666666667,1,1,0,0,41,3,1.0,2,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0.7538405995614831,0.43131654710524,-1.1178056209470244,0.020699860622648922,-0.41341105005208845
1000.0,250.0,0,0,0,0,53,4,3.0,2,1,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.5403149549565794,-0.19523738858900858,-0.2965522297807185,0.5473786220548151,0.702450183876701
850.0,425.0,1,0,0,1,74,2,0.5,2,1,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.22002648804922395,0.7445935149523641,1.140641204760317,-0.5059789008095172,-0.6923763585342858
1000.0,166.66666666666666,0,0,0,0,47,6,5.0,2,1,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.5403149549565794,-0.6427759140849004,-0.7071789253638715,1.6007361449191475,1.8183114178054907
2454.0,350.57142857142856,1,1,0,0,43,7,3.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3.6449778275118785,0.3448776776094618,-0.9809300557526401,2.127414906351314,0.702450183876701
200.0,200.0,0,0,0,0,54,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,-0.22811444718352633,-1.0326576622416834,-0.9713416670164832
300.0,300.0,0,0,0,0,72,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,1.0037656395659327,-1.0326576622416834,-0.9713416670164832
100.0,100.0,0,0,0,0,58,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-1.3814158464875532,-1.0008067344816138,0.04563668320524232,-1.0326576622416834,-0.9713416670164832
300.0,300.0,0,0,0,0,72,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,1.0037656395659327,-1.0326576622416834,-0.9713416670164832
700.0,100.0,0,0,0,0,56,7,6.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.1002619788581315,-1.0008067344816138,-0.091238881989142,2.127414906351314,2.376242034769885
900.0,180.0,0,0,0,0,34,5,4.0,2,1,0,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.3267893103516758,-0.5711697500055577,-1.5968700991273697,1.0740573834869813,1.260380800841096
300.0,75.0,0,0,0,0,45,4,3.0,2,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.954364557277746,-1.1350682921303812,-0.8440544905582558,0.5473786220548151,0.702450183876701
200.0,200.0,1,0,0,1,75,1,0.0,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,1.209078987357509,-1.0326576622416834,-0.9713416670164832
600.0,200.0,0,0,0,0,73,3,2.0,2,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.3137876234630351,-0.4637605038865436,1.0722034221631247,0.020699860622648922,0.1445195669123063
740.0,370.0,1,0,0,1,65,2,0.5,2,1,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.01485172101617004,0.4492180881250755,0.5247011613855874,-0.5059789008095172,-0.6923763585342858
500.0,166.66666666666666,0,0,0,0,61,3,2.0,2,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.5273132680679388,-0.6427759140849004,0.2509500309968188,0.020699860622648922,0.1445195669123063
1300.0,325.0,1,1,0,0,48,4,1.5,2,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1.1808918887712903,0.207547284357294,-0.6387411427666793,0.5473786220548151,-0.13444574156989106
1450.0,241.66666666666666,1,1,0,0,35,6,2.5,2,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.5011803556786458,-0.2399912411385978,-1.5284323165301774,1.6007361449191475,0.42348487539450363
500.0,250.0,0,0,0,0,67,2,1.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.5273132680679388,-0.19523738858900858,0.6615767265799718,-0.5059789008095172,-0.41341105005208845
200.0,200.0,0,0,0,0,68,1,0.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,0.7300145091771639,-1.0326576622416834,-0.9713416670164832
600.0,300.0,0,0,0,0,57,2,1.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.3137876234630351,0.07328572670852647,-0.022801099391949842,-0.5059789008095172,-0.41341105005208845
400.0,400.0,1,1,0,0,58,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,-0.7408389126728424,0.6103319573035966,0.04563668320524232,-1.0326576622416834,-0.9713416670164832
400.0,400.0,0,0,0,0,59,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-0.7408389126728424,0.6103319573035966,0.11407446580243448,-1.0326576622416834,-0.9713416670164832
400.0,200.0,0,0,0,0,54,2,1.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-0.7408389126728424,-0.4637605038865436,-0.22811444718352633,-0.5059789008095172,-0.41341105005208845
700.0,350.0,1,0,0,1,46,2,0.5,2,1,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.1002619788581315,0.34180884200606154,-0.7756167079610636,-0.5059789008095172,-0.6923763585342858
550.0,550.0,0,0,0,0,77,1,0.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.42055044576548695,1.4159013031962018,1.3459545525518934,-1.0326576622416834,-0.9713416670164832
1300.0,325.0,0,0,0,0,35,4,3.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.1808918887712903,0.207547284357294,-1.5284323165301774,0.5473786220548151,0.702450183876701
1400.0,280.0,0,0,0,0,38,5,4.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.394417533376194,-0.03412351941048755,-1.323118968738601,1.0740573834869813,1.260380800841096
1250.0,208.33333333333334,0,0,0,0,46,6,5.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.0741290664688385,-0.4190066513369544,-0.7756167079610636,1.6007361449191475,1.8183114178054907
400.0,200.0,1,0,1,0,30,2,1.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,-0.7408389126728424,-0.4637605038865436,-1.8706212295161382,-0.5059789008095172,-0.41341105005208845
600.0,300.0,0,0,0,0,61,2,1.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.3137876234630351,0.07328572670852647,0.2509500309968188,-0.5059789008095172,-0.41341105005208845
600.0,200.0,0,0,0,0,56,3,2.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.3137876234630351,-0.4637605038865436,-0.091238881989142,0.020699860622648922,0.1445195669123063
800.0,266.6666666666667,0,0,0,0,30,3,2.0,2,1,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.11326366574677214,-0.10572968348983013,-1.8706212295161382,0.020699860622648922,0.1445195669123063
300.0,300.0,0,0,0,0,77,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,1.3459545525518934,-1.0326576622416834,-0.9713416670164832
1000.0,166.66666666666666,0,0,0,0,54,6,5.0,2,1,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.5403149549565794,-0.6427759140849004,-0.22811444718352633,1.6007361449191475,1.8183114178054907
400.0,200.0,0,0,0,0,56,2,1.0,2,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-0.7408389126728424,-0.4637605038865436,-0.091238881989142,-0.5059789008095172,-0.41341105005208845
550.0,550.0,0,0,0,0,62,1,0.0,2,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.42055044576548695,1.4159013031962018,0.31938781359401097,-1.0326576622416834,-0.9713416670164832
1300.0,260.0,0,0,0,0,56,5,4.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.1808918887712903,-0.14153276552950156,-0.091238881989142,1.0740573834869813,1.260380800841096
1050.0,525.0,0,0,0,0,54,2,1.0,2,1,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6470777772590313,1.2816397455474342,-0.22811444718352633,-0.5059789008095172,-0.41341105005208845
708.33,354.165,0,0,0,0,44,2,1.0,2,1,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-0.08247529266254293,0.3641768175103463,-0.9124922731554479,-0.5059789008095172,-0.41341105005208845
300.0,300.0,0,0,0,0,74,1,0.0,2,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,1.140641204760317,-1.0326576622416834,-0.9713416670164832
300.0,300.0,0,0,0,0,81,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.954364557277746,0.07328572670852647,1.619705682940662,-1.0326576622416834,-0.9713416670164832
700.0,116.66666666666667,1,0,1,0,44,6,5.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-0.1002619788581315,-0.9112990293824352,-0.9124922731554479,1.6007361449191475,1.8183114178054907
300.0,150.0,1,0,1,0,24,2,1.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,-0.954364557277746,-0.7322836191840787,-2.281247925099291,-0.5059789008095172,-0.41341105005208845
200.0,200.0,0,0,0,0,78,1,0.0,2,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,1.4143923351490855,-1.0326576622416834,-0.9713416670164832
1608.33,178.70333333333332,1,0,1,0,48,9,8.0,2,1,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.8392555087815896,-0.5781334494622739,-0.6387411427666793,3.1807724292156463,3.4921032686986746
200.0,200.0,0,0,0,0,83,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,1.7565812481350465,-1.0326576622416834,-0.9713416670164832
200.0,200.0,0,0,0,0,47,1,0.0,2,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-1.1678902018826496,-0.4637605038865436,-0.7071789253638715,-1.0326576622416834,-0.9713416670164832
500.0,500.0,0,0,0,0,63,1,0.0,2,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,-0.5273132680679388,1.1473781878986666,0.3878255961912031,-1.0326576622416834,-0.9713416670164832
